date,hour,day,weather,season,festival,stock_start,sold,remaining,price
2025-01-01,06:00,Wednesday,Foggy,Winter,New Year,1192,27,1165,258.65
2025-01-01,07:00,Wednesday,Foggy,Winter,New Year,1165,39,1126,258.65
2025-01-01,08:00,Wednesday,Foggy,Winter,New Year,1126,45,1081,258.65
2025-01-01,09:00,Wednesday,Foggy,Winter,New Year,1081,58,1023,258.65
2025-01-01,10:00,Wednesday,Foggy,Winter,New Year,1023,90,933,258.65
2025-01-01,11:00,Wednesday,Foggy,Winter,New Year,933,89,844,258.65
2025-01-01,12:00,Wednesday,Foggy,Winter,New Year,844,82,762,258.65
2025-01-01,13:00,Wednesday,Foggy,Winter,New Year,762,95,667,258.65
2025-01-01,14:00,Wednesday,Foggy,Winter,New Year,667,69,598,258.65
2025-01-01,15:00,Wednesday,Foggy,Winter,New Year,598,63,535,258.65
2025-01-01,16:00,Wednesday,Foggy,Winter,New Year,535,74,461,258.65
2025-01-01,17:00,Wednesday,Foggy,Winter,New Year,461,56,405,258.65
2025-01-01,18:00,Wednesday,Foggy,Winter,New Year,405,67,338,258.65
2025-01-01,19:00,Wednesday,Foggy,Winter,New Year,338,95,243,258.65
2025-01-01,20:00,Wednesday,Foggy,Winter,New Year,243,56,187,258.65
2025-01-02,06:00,Thursday,Foggy,Winter,None,999,16,983,239.4
2025-01-02,07:00,Thursday,Foggy,Winter,None,983,24,959,239.4
2025-01-02,08:00,Thursday,Foggy,Winter,None,959,27,932,239.4
2025-01-02,09:00,Thursday,Foggy,Winter,None,932,38,894,239.4
2025-01-02,10:00,Thursday,Foggy,Winter,None,894,33,861,239.4
2025-01-02,11:00,Thursday,Foggy,Winter,None,861,44,817,239.4
2025-01-02,12:00,Thursday,Foggy,Winter,None,817,57,760,239.4
2025-01-02,13:00,Thursday,Foggy,Winter,None,760,43,717,239.4
2025-01-02,14:00,Thursday,Foggy,Winter,None,717,50,667,239.4
2025-01-02,15:00,Thursday,Foggy,Winter,None,667,38,629,239.4
2025-01-02,16:00,Thursday,Foggy,Winter,None,629,42,587,239.4
2025-01-02,17:00,Thursday,Foggy,Winter,None,587,46,541,239.4
2025-01-02,18:00,Thursday,Foggy,Winter,None,541,78,463,239.4
2025-01-02,19:00,Thursday,Foggy,Winter,None,463,63,400,239.4
2025-01-02,20:00,Thursday,Foggy,Winter,None,400,35,365,239.4
2025-01-03,06:00,Friday,Cold Clear,Winter,None,997,23,974,248.35
2025-01-03,07:00,Friday,Cold Clear,Winter,None,974,22,952,248.35
2025-01-03,08:00,Friday,Cold Clear,Winter,None,952,40,912,248.35
2025-01-03,09:00,Friday,Cold Clear,Winter,None,912,33,879,248.35
2025-01-03,10:00,Friday,Cold Clear,Winter,None,879,46,833,248.35
2025-01-03,11:00,Friday,Cold Clear,Winter,None,833,68,765,248.35
2025-01-03,12:00,Friday,Cold Clear,Winter,None,765,85,680,248.35
2025-01-03,13:00,Friday,Cold Clear,Winter,None,680,74,606,248.35
2025-01-03,14:00,Friday,Cold Clear,Winter,None,606,61,545,248.35
2025-01-03,15:00,Friday,Cold Clear,Winter,None,545,53,492,248.35
2025-01-03,16:00,Friday,Cold Clear,Winter,None,492,45,447,248.35
2025-01-03,17:00,Friday,Cold Clear,Winter,None,447,60,387,248.35
2025-01-03,18:00,Friday,Cold Clear,Winter,None,387,75,312,248.35
2025-01-03,19:00,Friday,Cold Clear,Winter,None,312,107,205,248.35
2025-01-03,20:00,Friday,Cold Clear,Winter,None,205,60,145,248.35
2025-01-04,06:00,Saturday,Cold Clear,Winter,None,1084,16,1068,249.35
2025-01-04,07:00,Saturday,Cold Clear,Winter,None,1068,26,1042,249.35
2025-01-04,08:00,Saturday,Cold Clear,Winter,None,1042,48,994,249.35
2025-01-04,09:00,Saturday,Cold Clear,Winter,None,994,67,927,249.35
